Provider Id,Latitude,Longitude
10001,31.2167252,-85.3630676
10005,34.2048111,-86.1018604
10006,34.7938449,-87.6831554
10007,31.2220879,-86.1725231
10008,31.6942681,-86.2639751
10011,33.596457,-86.6676502
10012,34.438606,-85.7556718
10016,33.2524436,-86.8135545
10019,34.7464826,-87.6989299
10021,31.451328,-85.632075
10022,34.1627694,-85.6515603
10023,32.3271609,-86.2762793
10024,32.3670831,-86.2853492
10025,32.8237737,-85.1701887
10029,32.6401629,-85.4037506
10032,33.3166328,-85.4874424
10033,33.5058687,-86.8020798
10034,32.534053,-85.912363
10035,34.2075866,-86.8748531
10036,31.2994329,-86.4925119
10038,33.6676746,-85.8342036
10039,34.721046,-86.581799
10040,34.0077928,-85.9658747
10044,34.1267682,-87.9914577
10045,33.7075714,-87.8238317
10046,34.0042649,-86.003393
10047,31.6363165,-86.7427087
10049,31.318647,-85.855114
10050,33.9333028,-86.4949953
10051,32.8421803,-87.890091
10052,32.8200176,-85.7415985
10054,34.5758061,-87.0168694
10055,31.2379068,-85.456757
10056,33.5071812,-86.7889111
10058,32.9513956,-87.1445298
10059,34.4828965,-87.2860052
10061,34.6617313,-86.0466607
10062,31.0482468,-85.8899899
10065,32.9212543,-85.9567325
10069,31.8887,-85.1562
10073,33.2774469,-85.822091
10078,33.6563953,-85.8228352
10079,34.8042607,-86.979177
10083,30.4260938,-87.6843079
10085,34.5911737,-86.9727166
10086,33.930952,-87.824744
10087,30.7072875,-88.0985628
10089,33.8429782,-87.2360248
10090,30.6782817,-88.1985523
10091,37.0516922,-85.8964005
10092,33.2053981,-87.5264812
10095,32.6947556,-87.5874393
10097,32.5512273,-86.1901705
10099,31.125938,-87.0717594
10100,30.5199796,-87.8882023
10101,33.439795,-86.0921538
10102,31.9909813,-87.2905456
10103,33.4985132,-86.8462189
10104,33.5163586,-86.7483395
10108,32.464172,-86.451767
10109,33.2759854,-88.0910893
10110,32.1461158,-85.713852
10112,32.5037933,-87.8374673
10113,30.6963935,-88.0798395
10114,33.3731473,-86.9916643
10118,32.429449,-87.0560426
10120,31.5279399,-87.3247077
10125,34.226488,-87.6214133
10126,31.7811497,-85.9449087
10128,31.5311947,-87.895053
10129,30.9039384,-87.7850231
10130,33.6043127,-86.3018159
10131,34.692792,-86.571787
10138,32.4917057,-88.2960195
10139,33.4642365,-86.7764088
10144,30.6852336,-88.1317111
10146,33.784545,-85.7629725
10148,31.4312802,-86.9414221
10149,32.3760239,-86.1748584
10150,31.8291371,-86.6463258
10157,34.74497,-87.6754017
10158,34.5107726,-87.7183471
10164,33.1644466,-86.2552042
10168,32.5080845,-85.0086714
10169,31.0166253,-87.4763489
20001,60.9490169,-149.1703365
20006,61.5628053,-149.2577819
20008,58.3290073,-134.4652479
20012,64.8311569,-147.7399472
20017,61.210404,-149.8286335
20018,60.7922222,-161.7558333
20024,60.4934413,-151.0780122
20026,61.1827424,-149.8006627
30001,33.5027797,-112.1706882
30002,33.465137,-112.057972
30006,32.252903,-110.8780795
30007,34.7357759,-112.0292561
30010,32.228313,-110.9995908
30011,32.2265668,-110.855335
30012,34.5596203,-112.4811881
30013,32.6823988,-114.634916
30014,33.5694587,-112.0708775
30022,33.4575977,-112.0262552
30023,35.20832,-111.643986
30024,33.4819191,-112.0793604
30030,33.5247707,-112.1021957
30033,34.2318445,-111.3213014
30036,33.2973867,-111.8746054
30037,33.4544851,-112.0423562
30038,33.4886726,-111.9231494
30043,31.551159,-110.2724797
30055,35.2201892,-114.0371257
30061,33.6042603,-112.2837994
30062,34.2019458,-110.0191523
30064,32.2409829,-110.9457686
30065,33.3899841,-111.877013
30067,34.1355321,-114.284787
30068,32.8227673,-109.7348242
30069,34.4803821,-114.3388668
30071,35.7444602,-109.0764828
30073,36.1349928,-111.2398625
30078,33.49695,-112.049421
30083,33.639414,-111.9973914
30084,36.1544483,-109.5526072
30085,32.3202768,-111.0100752
30087,33.580949,-111.885247
30088,33.4113555,-111.6874923
30089,33.6092024,-112.1795965
30092,33.6657269,-112.1161079
30093,33.659653,-112.372831
30094,33.6553009,-112.2021962
30101,35.1108249,-114.5549832
30103,33.6582437,-111.956235
30105,33.4113567,-111.6858362
30107,33.380264,-111.734607
30108,33.5321969,-112.098972
30110,33.4617771,-112.3532374
30111,32.1778717,-110.9295523
30112,33.3340207,-111.8912934
30113,33.8369944,-109.9642664
30114,32.42926,-110.949664
30115,33.478176,-112.257442
30117,35.0027485,-114.5962766
30118,34.5908402,-112.3307952
30119,33.2870306,-111.7524822
30120,33.3137966,-111.6873346
30121,33.3913915,-111.6111373
30122,33.3840468,-111.7225666
30123,33.6706949,-111.9220325
30126,33.424788,-111.8216395
30130,33.2144943,-111.5656332
30131,33.4565795,-111.9965192
30132,33.0731864,-111.4858889
40001,36.1899429,-94.5077653
40002,35.4643692,-93.4449512
40004,36.1093976,-94.1603583
40007,34.7503099,-92.3390324
40010,36.3089205,-94.1830957
40011,35.0546664,-93.388206
40014,35.2506878,-91.6923333
40015,34.5890564,-94.2216623
40016,34.7486563,-92.3542193
40017,36.2366395,-93.1085129
40018,35.4365325,-94.3381171
40019,35.0522767,-90.7653893
40020,35.8366835,-90.7025355
40022,36.1800714,-94.1367276
40026,34.4681702,-93.0663135
40027,36.3429502,-92.3944185
40029,35.0857916,-92.4585399
40036,34.777697,-92.1253854
40039,36.0525616,-90.4978107
40041,35.28319,-93.149218
40042,35.1441164,-90.1876822
40047,36.289821,-90.997503
40050,33.5758644,-92.8362602
40051,33.6071544,-91.8150275
40055,35.3745312,-94.4194135
40062,35.3557971,-94.3526657
40067,33.2743972,-93.2390359
40069,35.942244,-89.9188352
40071,34.189055,-92.0181788
40072,34.517642,-91.559316
40074,34.873582,-92.124839
40076,34.3601447,-92.7855482
40078,34.486004,-93.035211
40080,35.608362,-91.26499
40084,34.572905,-92.585083
40085,34.5102191,-90.6271793
40088,33.2183925,-92.6722845
40114,34.7486563,-92.3542193
40118,35.8083116,-90.6660236
40119,35.7678771,-91.6342957
40134,34.7392007,-92.3932502
40137,34.8131598,-92.2083455
40147,34.8003023,-92.3490932
40152,36.121327,-94.134071
40153,33.6490502,-93.5870364
50002,37.6337041,-122.087952
50006,40.7839228,-124.1422119
50007,37.5925244,-122.382567
50008,37.7686686,-122.4354409
50009,38.3251588,-122.2966229
50013,38.5425501,-122.4748268
50014,38.3510732,-120.7648261
50016,35.1134961,-120.5904213
50017,38.5702596,-121.4524082
50018,34.0650737,-118.2391378
50022,33.9767808,-117.3816002
50024,32.6851132,-117.0828852
50025,32.7545234,-117.1658067
50026,32.7749487,-117.0146736
50028,40.8963361,-124.0916707
50030,39.5062597,-121.5410928
50036,35.3873576,-119.0168962
50038,37.3128688,-121.9328811
50039,39.7421399,-121.8501891
