Provider Id,Latitude,Longitude
10001,31.2153783651,-85.3615340698
10005,,
10006,,
10007,,
10008,,
10011,,
10012,,
10016,,
10019,34.7458901149,-87.6990015721
10021,31.4517225699,-85.6310434331
10022,34.1626882699,-85.6508346656
10023,32.3277,-86.277
10024,32.366629,-86.2859365
10025,32.827306,-85.1889829
10029,,
10032,33.3113,-85.48556
10033,,
10034,,
10035,34.20119,-86.80568
10036,31.2965707925,-86.4968005757
10038,33.66800555,-85.8236744112
10039,,
10040,,
10044,,
10045,,
10046,,
10047,,
10049,31.318217,-85.855214
10050,33.9334002006,-86.4950006768
10051,32.843283,-87.889577
10052,32.817208,-85.74115
10054,34.5766812092,-87.0173893876
10055,31.2364984049,-85.4593031822
10056,33.5079693,-86.7879606
10058,,
10059,34.483576,-87.285908
10061,34.6593658567,-86.0494085085
10062,,
10065,,
10069,31.888033,-85.157902
10073,,
10078,33.6559819,-85.822589219
10079,34.80394,-86.97877
10083,,
10085,,
10086,,
10087,30.708015,-88.099581
10089,,
10090,30.6827188586,-88.2007688889
10091,31.69425,-87.77594
10092,,
10095,32.70041,-87.58556
10097,32.551159,-86.190032
10099,,
10100,30.5198912116,-87.8895388777
10101,33.4398623865,-86.0900841243
10102,,
10103,33.499436,-86.845365
10104,33.5166282,-86.7486315
10108,32.4644790023,-86.4510319108
10109,,
10110,32.146232825,-85.7135745009
10112,,
10113,30.6964008571,-88.0788514286
10114,,
10118,32.4281404705,-87.0527873926
10120,,
10125,,
10126,31.78167,-85.94582
10128,31.530266,-87.8926179
10129,30.9017170213,-87.7830754043
10130,33.6070013,-86.2909669
10131,,
10138,32.4920161307,-88.2970082916
10139,,
10144,30.6853886704,-88.1360987684
10146,33.78517,-85.76336
10148,31.43085,-86.94053
10149,32.37599,-86.1747
10150,,
10157,34.7449031,-87.6724712
10158,34.50935,-87.718245
10164,33.164604385,-86.2540944893
10168,,
10169,,
20001,61.18839,-149.82057
20006,,
20008,58.3283042,-134.4659134
20012,64.8346063491,-147.739212702
20017,61.2097965034,-149.828760139
20018,,
20024,,
20026,61.1819608133,-149.795906305
30001,33.502780275,-112.170724035
30002,,
30006,32.25075,-110.879685
30007,34.73852,-112.031003
30010,32.228693,-111.001196
30011,,
30012,34.563533,-112.482133
30013,32.683826,-114.633353
30014,33.567836,-112.070768
30022,33.45819,-112.027381
30023,35.209183,-111.644853
30024,33.4803914523,-112.078840419
30030,33.525276,-112.1020771
30033,,
30036,33.2986144468,-111.875435651
30037,33.45151,-112.043225
30038,33.4885727,-111.922983088
30043,31.551104,-110.272492
30055,35.216244,-114.035382
30061,33.60336785,-112.283166448
30062,,
30064,32.24053,-110.944076
30065,33.3890626549,-111.874755898
30067,,
30068,32.821748,-109.733089
30069,,
30071,35.75923,-109.04864
30073,,
30078,33.4968212635,-112.047701267
30083,33.6406111121,-111.997691402
30084,,
30085,32.3147236108,-111.012045934
30087,33.5823449,-111.8003776
30088,33.4109373,-111.6871454
30089,33.6096858562,-112.179406141
30092,33.6676179538,-112.117141108
30093,,
30094,,
30101,35.109912,-114.55421
30103,33.6637130323,-111.95934285
30105,33.4115659,-111.686024
30107,,
30108,33.531513,-112.09954
30110,33.464349907,-112.352650254
30111,32.177863,-110.931867
30112,33.33483825,-111.89149175
30113,,
30114,32.42941105,-110.948913146
30115,33.47836715,-112.257355435
30117,,
30118,34.5880112626,-112.32723813
30119,33.2870182,-111.752335245
30120,,
30121,,
30122,33.366738,-111.7217835
30123,33.67075,-111.92225
30126,33.425416,-111.822705331
30130,,
30131,33.4557863908,-111.995342323
30132,,
40001,36.1872346,-94.5130417
40002,35.464301,-93.445134
40004,,
40007,,
40010,36.30928905,-94.1832876
40011,35.0543066327,-93.388462898
40014,35.2503751481,-91.6970177022
40015,,
40016,,
40017,36.2358231837,-93.1072564898
40018,,
40019,,
40020,,
40022,,
40026,34.4661253482,-93.067524963
40027,,
40029,35.0849411402,-92.4583997413
40036,,
40039,,
40041,,
40042,35.144119,-90.19069
40047,36.290646,-90.997109
40050,,
40051,33.6109532609,-91.8150894573
40055,35.374599,-94.421223
40062,35.35297,-94.351235
40067,33.274987,-93.239657
40069,35.941546,-89.918736
40071,,
40072,,
40074,34.872461,-92.124655
40076,,
40078,,
40080,35.6081284697,-91.264333916
40084,34.575712,-92.585255
40085,34.50994,-90.62697
40088,33.218463,-92.672413
40114,,
40118,35.8090993878,-90.669119
40119,,
40134,,
40137,34.8142662407,-92.2060352222
40147,,
40152,36.1212743,-94.1340695
40153,,
50002,37.6329082791,-122.089676713
50006,40.78450185,-124.142708035
50007,,
50008,37.76829743,-122.434678085
50009,,
50013,,
50014,38.351109,-120.766536
50016,,
50017,,
50018,34.0646679184,-118.239098551
50022,33.9755459043,-117.379900886
50024,32.6855936,-117.0821829
50025,,
50026,,
50028,40.872473,-124.1011509
50030,39.50646,-121.5411
50036,,
50038,37.3163065747,-121.93194004
50039,39.7423835306,-121.849056551
50040,34.324371,-118.447139
50042,,
50043,37.8208724751,-122.263109733
50045,32.7814172857,-115.568702714
50046,34.44237004,-119.264380104
50047,37.79050015,-122.432308505
50054,,
50055,37.74707405,-122.42084245
50056,34.68844165,-118.158424767
50057,,
50058,,
50060,36.741952906,-119.783930654
50063,34.09641,-118.29077
50067,,
50069,33.7831862261,-117.86615392
50070,,
50071,37.3377795107,-121.995709745
50072,37.8854446,-122.05477935
50073,38.128462,-122.2469584
50075,37.823949874,-122.257944811
50076,37.78267845,-122.440433443
50077,32.7513299384,-117.161045239
50078,33.737983,-118.305405
50079,37.952886,-122.338578
50082,34.216462,-119.158299
50084,37.97039,-121.28812
50089,34.1312995482,-117.322472849
50090,38.2884347095,-122.465339957
50091,33.9892980636,-118.224528066
50093,36.8372357,-119.7630663
50096,34.0709965952,-117.94422358
50099,34.1018860667,-117.637356419
50100,32.80017,-117.154197
50101,38.1311666174,-122.239067812
50102,33.9258363487,-117.440007864
50103,34.05068,-118.21752
50104,33.9307798,-118.1822415
50107,,
50108,38.571686,-121.46998
50110,34.6393207143,-120.439662429
50111,34.0753771973,-118.283571498
50112,34.027547875,-118.486701125
50113,37.5305340981,-122.298593103
50115,,
50116,,
50118,37.8011485036,-121.19808403
50121,36.3238618,-119.6669545
50122,,
50124,34.20547,-118.216905
50125,37.3626594182,-121.84773201
50126,34.1939051,-118.4967613
50127,38.6641369,-121.792050353
50128,33.184253,-117.2917839
50129,34.13471,-117.27699
50131,38.0978858489,-122.559272787
50132,34.10135,-118.10581
50133,39.1386348571,-121.595095388
50135,,
50136,38.253464,-122.633245
50137,34.2193324,-118.4563878
50138,,
50139,,
50140,,
